Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
1,6400.670025605148,0.5059431155902444,-2.6505719916935764,-7.90453364360726e-05,0.0004141085200596604,0.0003124672873307371,22.18113740184307,-24.1962,-0.8,-12.801340051210296
2,55.4430037224265,-7.541973020835289,-9.305475180091666,0.13603110427771767,0.16783858296493473,0.036073081646386465,21.69721287884712,-24.1962,-0.8,-6.456113029327574
3,53.77962354217572,-7.13277966924276,-9.87963458263377,0.1326297805645479,0.18370590814727145,0.03718880624799345,21.213288355851173,-24.1962,-0.8,-4.339928435246501
4,54.2237446501923,-7.797528002831741,-11.080171048993282,0.1438028312713384,0.20434167947037918,0.036884210282826846,20.729363832855224,-24.1962,-0.8,-3.2820581987599713
5,52.245658844474576,-7.8774257757822195,-10.056805784938899,0.15077665685548772,0.19249074482678272,0.038280692486884337,20.245439309859275,-24.1962,-0.8,-2.6465448225457666
6,52.87245067487452,-7.289360458177572,-11.05690127921572,0.1378668922120068,0.2091240549299914,0.03782688289405164,19.761514786863327,-24.1962,-0.8,-2.2230781690130974
7,51.564092718683426,-8.164876442610122,-11.417752161382817,0.15834422777794188,0.22142835371261707,0.03878668070262258,19.27758840122223,-24.1962,-0.8,-1.9202281713594216
8,51.043449847337875,-9.218474888335502,-12.142261469427751,0.18060054553339094,0.23788089374333346,0.03918230460483478,18.79366387822628,-24.1962,-0.8,-1.6929605124013283
9,48.61300178750082,-10.544899521798031,-10.925328030550475,0.21691521062394656,0.224740864147985,0.041141256998333146,18.30973935523033,-24.1962,-0.8,-1.515656678087292
10,44.27406255625289,-1.1485027218467445,-5.461809601675282,0.02594075753467398,0.12336364196838091,0.09034635109253315,17.825814832234382,-24.1962,-0.8,-1.3729458227898135
11,47.13599725095447,-11.351293010695544,-12.147084627645508,0.24082004567041784,0.25770293058559485,0.04243041659545034,17.76054588356018,-3.2633705,-0.10223901711897462,-0.10223901711897462
12,295.4866416712693,-2.868589311151297,-2.835145083641308,0.009708016900278761,0.009594833348830111,0.006768495484899152,17.66647485294342,-4.703632,-0.15024774470874316,-0.15024774470874316
13,208.01369229499704,-3.4146646052122507,-5.437873815232128,0.01641557614567845,0.026141903233563794,0.009614751692228397,17.553890992188453,-5.6290364,-0.18109455845930747,-0.18109455845930747
14,172.765404989358,-4.592777992419387,-4.721638108535508,0.026583898510829138,0.027329766100026517,0.011576391697881853,17.427087698364257,-6.3402863,-0.20480289052714062,-0.20480289052714062
15,152.59043808013357,-5.082733122949952,-5.550198039169533,0.033309643689998,0.036373170619346556,0.013106981178923486,17.288240541005134,-6.942355,-0.2248718463742724,-0.2248718463742724
16,135.55659054132576,-6.554218536886864,-5.436616937301208,0.04835042332293498,0.04010588430699577,0.014753985711895581,17.139471072936058,-7.4384604,-0.2414086743475626,-0.2414086743475626
17,124.05280009982788,-5.858117253853545,-4.730246573284369,0.047222773279921096,0.03813091336493687,0.01612216732222536,16.981999326729774,-7.873392,-0.25590641582379153,-0.25590641582379153
18,122.89916623732672,-6.534943285081737,-6.736771578561169,0.0531732108943873,0.05481543760477594,0.01627350340308951,16.815912846708297,-8.304527,-0.2702775591017893,-0.2702775591017893
19,121.71512571492606,-6.096974076200523,-10.134406001415668,0.050092164308982376,0.08326332443801497,0.01643181147990005,16.641049582743644,-8.74314,-0.28489798388727433,-0.28489798388727433
20,107.16859639124111,-7.9859360657739,-7.243315669052849,0.07451750171868995,0.06758804270058393,0.0186621833946447,16.458638880634307,-9.120507,-0.29747689065427196,-0.29747689065427196
21,101.81548298679076,-7.203009254533444,-7.7035030292906255,0.0707457161055548,0.07566141026203309,0.01964337781768883,16.26966607966423,-9.448585,-0.30841278780143927,-0.30841278780143927
22,98.98438805727619,-6.146397875571265,-7.318663841616419,0.06209461912331792,0.07393755707598614,0.020205206490166133,16.104276228928565,-8.26957,-0.26911233707864063,-0.26911233707864063
23,111.45894162095384,-4.39149242950183,-6.182298687895045,0.03940009088222175,0.055467050000525014,0.017943827304600996,15.950472031021118,-7.6902413,-0.24980138694383194,-0.24980138694383194
24,116.92355669994471,-5.2282419499361295,-6.091750127658882,0.044715043721712255,0.05210028072693552,0.017105192969219227,15.803365905070304,-7.3551908,-0.23863301728594935,-0.23863301728594935
25,121.6100387996492,-4.611144753995525,-6.124363458048085,0.03791746799449937,0.05036067349783422,0.01644601070553864,15.659979481482505,-7.169308,-0.23243693742985247,-0.23243693742985247
26,125.40754663513616,-4.946931897162588,-7.4037236389670795,0.0394468437498049,0.05903730547020154,0.015948003558500748,15.517811227822303,-7.1084137,-0.23040712864861454,-0.23040712864861454
27,128.24881936840848,-6.215443176971511,-7.449020151036734,0.048463940701995736,0.058082563159030924,0.015594685470396306,15.375140059971809,-7.13359,-0.23124633250233065,-0.23124633250233065
28,125.74572934675992,-5.266443587033678,-8.09178794255888,0.0418816894569102,0.06435039968828478,0.015905112725417055,15.23212709673643,-7.1506696,-0.23181564512421726,-0.23181564512421726
29,121.46656225243831,-5.911133731330351,-6.292366526333116,0.048664699335488865,0.05180328157518761,0.016465436766404017,15.089143004500865,-7.1491776,-0.23176593243171975,-0.23176593243171975
30,118.94392559418213,-5.855624621802115,-6.817171538019325,0.0492301274953761,0.05731416298868793,0.016814645977161403,14.944747027242183,-7.2198296,-0.23412099827230795,-0.23412099827230795
31,118.87433326248821,-6.650784244633591,-6.8028769142964,0.055948025634330115,0.05722746641425836,0.016824489737273813,14.798303071641921,-7.3221827,-0.2375327683274474,-0.2375327683274474
32,117.54992905132163,-5.299508653279298,-7.536610255869159,0.045083044252332664,0.06411411998878126,0.017014046849205766,14.649630461120605,-7.433576,-0.2412458765262565,-0.2412458765262565
33,114.57073333190715,-5.528151800176317,-7.797698270864793,0.04825099429329362,0.06806012359434893,0.008728232515567804,14.500586252892017,-7.4522467,-0.2418682348684472,-0.2418682348684472
34,114.40672247518832,-5.827319634190806,-7.44071158406304,0.05093511559562937,0.06503736339161999,0.01748149021954322,14.351843793177604,-7.4371457,-0.2413648680234959,-0.2413648680234959
35,112.39165414823836,-6.300914195440155,-7.431283443215836,0.05606211816341451,0.06611953084536318,0.017794915602559875,14.204207744681835,-7.3818355,-0.23952119109321376,-0.23952119109321376
36,110.00567174266033,-5.067355647424141,-6.645081171942173,0.04606449437696597,0.060406714187312235,0.018180880752027603,14.058419440174102,-7.2894244,-0.23644081611471857,-0.23644081611471857
37,112.76996061237035,-5.737454395896762,-7.639907196944098,0.05087750642760613,0.06774771539741085,0.01773521946039067,13.914489124202728,-7.1965513,-0.23334504436351095,-0.23334504436351095
38,110.52077485132082,-5.432066936084491,-7.065008442397816,0.049149736268063925,0.06392470964759421,0.018096145296579037,13.772386063122749,-7.1052017,-0.23030005346442312,-0.23030005346442312
39,112.04245370962947,-6.526673093465128,-7.417680753382252,0.05825178650924345,0.06620419767498131,0.017850376654399442,13.631411765003204,-7.048657,-0.22841523175586137,-0.22841523175586137
40,109.45732902685769,-6.31256981262338,-7.055478525117245,0.057671513353614326,0.06445871270425421,0.01827196056930329,13.491576474392414,-6.9917374,-0.2265179124423965,-0.2265179124423965
41,105.43835940542252,-5.441754178434443,-5.854432848797198,0.0516107630004966,0.05552469596274953,0.018968428675087516,13.353354234480857,-6.9111214,-0.22383071767098334,-0.22383071767098334
42,107.89721296269074,-6.719942915348431,-6.569524092229799,0.06228096844051095,0.06088687475645403,0.018536159971912994,13.216290559852123,-6.853205,-0.2219001744532571,-0.2219001744532571
43,108.07938852809225,-5.829037594489844,-6.4705391858843955,0.053932925360460814,0.05986839187383594,0.01850491594408082,13.080004539573192,-6.814257,-0.2206019054924942,-0.2206019054924942
44,111.6164408470722,-6.053466338050861,-8.292212748375064,0.05423454010995415,0.07429203695660196,0.008959253604673876,12.944054726743698,-6.7975154,-0.22004384916687095,-0.22004384916687095
45,107.9446375829966,-5.046989828347655,-6.3957083123036025,0.046755354794415976,0.05924989379288121,0.018528016257058046,12.808638561749458,-6.7708335,-0.2191544458538226,-0.2191544458538226
46,106.67635805952096,-5.750973402069437,-7.473971751265884,0.05391047751049612,0.07006211954757322,0.01874829658961626,12.673621002817153,-6.7508574,-0.21848858311719474,-0.21848858311719474
47,107.08596615311266,-5.776787454353,-6.9345317043405945,0.05394532693568164,0.06475668057591717,0.01867658360704687,12.539287034654617,-6.7167535,-0.21735178422534318,-0.21735178422534318
48,106.83350292853376,-6.532179749194597,-8.0535395202956,0.061143551134556516,0.07538402560555384,0.018720719111287584,12.405394513392448,-6.69463,-0.2166143298407858,-0.2166143298407858
49,104.7525787154867,-6.156997920787726,-7.197991209602159,0.05877657615962317,0.0687142149421664,0.01909260874075569,12.272376504027843,-6.650891,-0.21515635484195725,-0.21515635484195725
50,104.60484577761363,-5.738375336716405,-6.895925002903951,0.054857643487338986,0.06592357124223915,0.019119573143408026,12.139941502594947,-6.6217756,-0.21418585819210845,-0.21418585819210845
51,104.60718497422253,-4.881940745399928,-8.086177245615431,0.046669267953276285,0.07730040004047561,0.01911914559686166,12.007606152677536,-6.616789,-0.21401962330586843,-0.21401962330586843
52,106.69392154807782,-6.649567664945273,-8.10132953534204,0.062323772230537824,0.07593056303297901,0.018745210326707985,11.875415157759189,-6.6095686,-0.21377896502294585,-0.21377896502294585
53,106.36243389926913,-6.7317341701513485,-8.326498665716699,0.06329052395065214,0.07828420580900146,0.01880363138261866,11.743430916452407,-6.599267,-0.2134355740971812,-0.2134355740971812
54,103.73170388660975,-5.855672335593393,-7.180424650425598,0.05645017016200073,0.06922111930480385,0.019280508514409652,11.61239196755886,-6.5519586,-0.21185862670508873,-0.21185862670508873
55,103.54601898123043,-7.80151161177787,-8.009252418629728,0.07534342400157396,0.0773496895142009,0.009657541736889642,11.481879215919971,-6.525567,-0.2109789029847355,-0.2109789029847355
56,102.25671961446734,-7.077775951055507,-8.460946606306521,0.06921575401343247,0.08274220646042962,0.01955861685706803,11.351899180793762,-6.499049,-0.21009497529572477,-0.21009497529572477
57,100.93731159764812,-7.922472647821329,-8.524417788745172,0.07848903960709339,0.08445259393003088,0.01981427846991123,11.222655821824073,-6.4621572,-0.20886524438463183,-0.20886524438463183
58,102.28008896248065,-8.074530442403693,-8.015930047233317,0.0789452817680445,0.0783723413671824,0.01955414802908178,11.093959149205684,-6.4348364,-0.20795456159142123,-0.20795456159142123
