Timestep,TTC,x0,y0,A,B,C,distance,actual_velocity_y,desired_velocity_y,unclipped_velocity_y
1,5534.777431090423,0.5863819766279245,-2.707626438720674,-0.00010594499669201686,0.000489202406498076,0.0003613514770739343,22.18113740184307,-24.1962,-0.8,-11.069554862180848
2,53.43634138622103,-6.378305142204353,-7.466925520074652,0.11936268420968373,0.13973496924323595,0.03742771207977415,21.69721287884712,-24.1962,-0.8,-5.588213772476644
3,51.76374427704573,-3.0399810751674905,-6.3893242777632056,0.05872799809258676,0.12343242103134541,0.057955622065197644,21.213288355851173,-24.1962,-0.8,-3.759985011169127
4,41.10469943333679,-1.1317706983081801,-2.459945771718978,0.027533851698482187,0.05984585231449008,0.09731247412445289,20.729363832855224,-24.1962,-0.8,-2.8405411080935132
5,42.56474348326047,-0.43191109360753827,-2.0424383439032803,0.010147156032489585,0.04798427470158523,0.09397448857111258,20.245439309859275,-24.1962,-0.8,-2.289458783868115
6,50.390584031079406,-6.214775077962341,-8.79756160736713,0.12333207081166699,0.17458741105165715,0.039689954749610755,19.761514786863327,-24.1962,-0.8,-1.924679181233789
7,49.25250867214296,-7.198726546918009,-9.069736891469786,0.14615959148065857,0.18414771421784643,0.04060706863305813,19.27758840122223,-24.1962,-0.8,-1.6637971578210025
8,48.454174033758235,-8.185026866779761,-9.719354378828108,0.1689230500777336,0.2005885885508355,0.04127611376899318,18.79366387822628,-24.1962,-0.8,-1.4679360566018171
9,46.996476835736324,-9.440334133243672,-9.220537997741715,0.200873230694289,0.196196366590833,0.04255638155580189,18.30973935523033,-24.1962,-0.8,-1.315275711831779
10,47.0120755373851,-6.317763934020119,-7.567916695346955,0.13438598193768506,0.16097814463283527,0.06381339189362806,17.825814832234382,-24.1962,-0.8,-1.1931505557560782
11,45.916024276067105,-10.058626324264203,-10.088720443760643,0.21906570707836914,0.219721123569037,0.04355777817293436,17.76466232933998,-3.057548,-0.09537827439320662,-0.09537827439320662
12,307.3159137300166,-1.9964974902663069,-1.62904871202846,0.006496563962581747,0.0053008927922281734,0.006507961061063182,17.673048127675056,-4.580826,-0.14615418886196577,-0.14615418886196577
13,240.94399042115853,-0.4313022600963462,8.033015259560418,0.001790051950839075,-0.0333397618488807,0.00415034215317862,17.558728281641006,-5.715907,-0.1839902380907883,-0.1839902380907883
14,167.03086863966388,-4.313843511917261,-4.212556607361148,0.025826624426072566,0.02522022810315923,0.011973834634809959,17.429300520801544,-6.4714637,-0.20917547193205374,-0.20917547193205374
15,147.4625138010349,-4.705806998885199,-5.050737018342205,0.03191188646922533,0.034250989544074614,0.013562768926471156,17.28728314139843,-7.1008506,-0.23015502599560858,-0.23015502599560858
16,131.11668457025678,-5.791297281955867,-4.75803964947227,0.044169033871907376,0.036288590312263044,0.015253588866703931,17.135576281929016,-7.5852075,-0.24630024610344406,-0.24630024610344406
17,120.03060948998609,-5.268718339469212,-4.279989258674004,0.043894789519574755,0.03565748167788046,0.01666241643275881,16.975377623224258,-8.009876,-0.2604558662670127,-0.2604558662670127
18,118.4920133015348,-5.896554441277276,-6.100600824521178,0.04976330705320963,0.05148533352198648,0.016878774731512596,16.80677657225132,-8.430103,-0.274463434120568,-0.274463434120568
19,113.59515377540755,-5.079426116336623,-7.452528103060783,0.04471516563443641,0.06560603912553703,0.01760638489872782,16.63018291094303,-8.829696,-0.2877831695085023,-0.2877831695085023
20,104.57954794835209,-8.852780188058585,-8.393788577032323,0.0846511613573874,0.08026223809245858,0.019124198174845095,16.446680698776245,-9.1751,-0.2992966639906957,-0.2992966639906957
21,98.80270536076183,-6.561895512798793,-6.9959683542886095,0.06641412792128626,0.07080745743493543,0.020242360699510492,16.256834317231178,-9.49242,-0.3098740002076346,-0.3098740002076346
22,96.40923964145622,-4.882566940591105,-6.19394067725474,0.050644180565568825,0.0642463388394086,0.020744899632420655,16.092293832683563,-8.22698,-0.2676926653899226,-0.2676926653899226
23,108.20894410804158,-3.4908882664331204,-4.927371136269218,0.03226062591413545,0.04553571035079566,0.018482760519343885,15.943680826807022,-7.4305696,-0.24114565612729916,-0.24114565612729916
